File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
74543594-cfd5-40b4-883a-44e8e228b967	17fd3deb-de89-494c-8dc4-5e2d8647863d.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JF	TCGA-OR-A5JF-01A	Primary Tumor
487fc025-438d-458b-b117-91afa8e58802	d4be33cc-1bc5-4e17-961c-fbac163326aa.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-P6-A5OF	TCGA-P6-A5OF-01A	Primary Tumor
5d2f11b1-cec6-432f-a665-0b543fba4f85	7efb73f4-ef40-4dfa-8163-97a5f65b1e31.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5KV	TCGA-OR-A5KV-01A	Primary Tumor
d35e06d0-385c-4ba1-aaa3-e71c89effbdc	8043614c-ce6a-42e2-b974-9559872cf811.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JD	TCGA-OR-A5JD-01A	Primary Tumor
c0372ae5-c60f-4330-92c0-73f245041315	d48a588b-b49b-4b35-bd73-141669318f13.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K6	TCGA-OR-A5K6-01A	Primary Tumor
e275169a-4958-4900-a73e-947ef33d63c3	06c4729b-31e9-4795-bebc-f8588b311bf0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J7	TCGA-OR-A5J7-01A	Primary Tumor
82b994b9-4beb-44bd-a0ce-e737693292f7	8c231c07-0fb9-4e47-b9e9-d063a509ef17.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-PK-A5H8	TCGA-PK-A5H8-01A	Primary Tumor
ac5448ce-4e8a-414c-8942-7c8f59818ce5	c9d871ba-e6ca-49b0-99e1-02d2760291f7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JY	TCGA-OR-A5JY-01A	Primary Tumor
ca5e6aee-df31-4bb9-96ca-04fada8cbedd	fa77f658-db3a-48a2-999c-39a44ef832a7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JW	TCGA-OR-A5JW-01A	Primary Tumor
414734f8-51b1-4271-98e7-4206caa842cd	c93f2b73-997f-4224-a0e9-cf7f6e2afdcc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-P6-A5OG	TCGA-P6-A5OG-01A	Primary Tumor
ac17a22e-ac86-41e1-8a4a-6e915240ef4e	03a6d985-7385-4637-b55b-660e801326f1.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J8	TCGA-OR-A5J8-01A	Primary Tumor
0f45416c-67c3-434c-8980-c59dd812fc18	e416a6e2-7ee9-4a1d-adc1-6db8738a6cf3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JA	TCGA-OR-A5JA-01A	Primary Tumor
5c180477-ae14-43e8-93fd-f9df3ffb6b46	55dbbb43-22fb-4803-bace-57580dcaed1e.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K1	TCGA-OR-A5K1-01A	Primary Tumor
bb252013-54be-4d5c-b14e-fc6f3fad2925	126e4c65-dd29-4040-a256-8d5f2feac3dc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5K3	TCGA-OR-A5K3-01A	Primary Tumor
b8abd8a3-1525-4bf5-b083-eddefa3ca19e	32d1a985-ad2c-4046-873d-02416f5a68f3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5J5	TCGA-OR-A5J5-01A	Primary Tumor
6d688440-4812-4a76-9f76-51c4b6101726	e73e3a8a-f710-4189-bf50-2673adcb989c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5KO	TCGA-OR-A5KO-01A	Primary Tumor
d444f590-38be-4744-928b-735c6be32189	9f35f301-9683-4cdf-bb2b-1d6e5928ff96.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5JV	TCGA-OR-A5JV-01A	Primary Tumor
cc0fbdba-cf35-4123-b16e-2176d4d0ea81	1fde266c-c236-4da4-9b59-4ac6aae51929.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-ACC	TCGA-OR-A5KW	TCGA-OR-A5KW-01A	Primary Tumor
